City,Count
"San Sai District",25
"Sanamchai, Mueang Suphan Buri District",1
"Sang, Seka District",1
"Sangkhla Buri District",40
"Sangkhom District",1
"Sankhaburi District",2
"Sap Anan, Tha Sae District",1
"Saphan Sung",1
"Saraphi District",27
"Sathing Phra District",1
"Sathon",92
"Sawankhalok District",8
"Sena District",1
"Si Chiang Mai District",2
"Si La Ko, Chakkarat District",1
"Si Maha Phot District",20
"Si Racha District",128
"Si Satchanalai District",2
"Si Satchanalai, Si Satchanalai District",2
"Si Sawat District",9
"Sichon District",26
"Sikao District",16
"Sikhio District",6
"Singhanakhon District",2
"Sop Prap District",1
"South Thonburi",33
"Su-ngai Kolok District",2
"Suan Luang",46
"Suan Luang, Chaloem Phra Kiat District",1
"Suan Phueng District",43
"Suan Som, Ban Phaeo District",1
"Sukhumvit",531
"Sung Men, Sung Men District",1
"Sung Noen, Sung Noen District",2
"Ta Khria, Ranot District",1
"Tak Tok, Ban Tak District",1
"Takhian, Kap Choeng District",1
"Takhli District",2
"Takhop, Pak Thong Chai District",1
"Tako Ta Phi, Prakhon Chai District",1
"Takua Pa District",156
"Takua Thung District",14
"Tan Diao, Lom Sak District",1
"Taphan Hin, Taphan Hin District",1
"Tha Bo District",1
"Tha Chang District",2
"Tha Kham, Bang Pakong District",1
"Tha Khon Yang, Kantharawichai District",1
"Tha Khuen, Tha Sala District",1
"Tha Mai District",55
"Tha Muang District",12
"Tha Muang, Selaphum District",1
"Tha Na, Kapong District",1
"Tha Ngam, In Buri District",1
"Tha Phae, Tha Phae District",1
"Tha Pho, Nong Khayang District",2
"Tha Pi Liang, Mueang Suphan Buri District",6
"Tha Rahat, Mueang Suphan Buri District",2
"Tha Rong, Wichian Buri District",2
"Tha Ruea, Ban Na Doem District",1
"Tha Ruea, Tha Phae District",1
"Tha Sa An, Bang Pakong District",1
"Tha Sai, Mueang Samut Sakhon District",1
"Tha Sala District",2
"Tha Sala, Tha Sala District",2
"Tha Than, Phanom Sarakham District",1
"Tha Wang Pha District",4
"Tha Yaek, Mueang Sa Kaeo District",1
"Tha Yang District",8
"Tha Yang, Thung Yai District",1
"Thai Buri, Tha Sala District",1
"Thai Mueang District",21
"Thalang District",338
"Thale Noi, Khuan Khanun District",1
"Thanyaburi District",29
"Thap Put District",1
"Thap Sakae District",12
"Thap Than, Thap Than District",1
"That Phanom District",6
"That, Wang Hin District",1
"Thon Buri",124
"Thong Pha Phum District",13
"Thongchai Nuea, Pak Thong Chai District",1
"Thung Khamin, Na Mom District",1
"Thung Saliam, Thung Saliam District",1
"Thung Song District",16
"Thung Song, Na Bon District",1
"Thung Wa, Thung Wa District",1
"Trakan Phuet Phon District",1
"U Thong District",1
"U Thong, U Thong District",2
"Ubolratana District",1
"Um Chan, Prachaksinlapakhom District",2
"Uthai District",11
"Wang Ban, Lom Kao District",2
"Wang Chan District",1
"Wang Hin, Non Daeng District",1
"Wang Noi District",1
"Wang Nok Aen, Wang Thong District",2
"Wang Phang, Wiang Nong Long District",2
"Wang Saphung District",5
"Wang Sappharot, Khlung District",1
"Wang Tako, Lang Suan District",1
"Wang Thong District",6
"Wang Thong, Ban Dung District",1
"Warin Chamrap District",10
"Wat Luang, Phon Phisai District",1
"Wat Phleng, Wat Phleng District",1
"Wat Son, Ranot District",1
"Watthana Nakhon, Watthana Nakhon District",1
"Wiang Chai District",4
"Wiang Kaen District",2
"Wiang Kalong, Wiang Pa Pao District",2
"Wiang Pa Pao District",4
"Wiang Thong, Sung Men District",1
"Wichet Nakhon, Chae Hom District",1
"Wisit, Mueang Bueng Kan District",1
"Yan Nawa",6
"Yan Ta Khao District",1
"Yan Yao, Sam Chuk District",1
